"STATE,C,5","STATE_FIPS,C,2","COUNTY,C,254","FIPS,C,254","VOTE_DEM,N,16,6","VOTE_REP,N,16,6","VOTE_OTH,N,16,6","TOTAL_VOTE,N,16,6","PCT_OBM,N,16,6","PCT_ROM,N,16,6","PCT_OTHR,N,16,6","WINNER,C,254","PCT_WNR,N,16,6"
AL,01,Autauga,01001,6363,17379,231,23973,26.54236,72.494056,0.963584,Romney,72.494056
AL,01,Barbour,01005,5912,5550,55,11517,51.332812,48.189633,0.477555,Obama,51.332812
AL,01,Bibb,01007,2202,6132,86,8420,26.152019,72.826603,1.021378,Romney,72.826603
AL,01,Blount,01009,2970,20757,333,24060,12.34414,86.27182,1.38404,Romney,86.27182
AL,01,Bullock,01011,4061,1251,10,5322,76.3059,23.506201,0.187899,Obama,76.3059
AL,01,Butler,01013,4374,5087,41,9502,46.032414,53.536098,0.431488,Romney,53.536098
AL,01,Chambers,01017,6871,7626,132,14629,46.968351,52.129332,0.902317,Romney,52.129332
AL,01,Cherokee,01019,2132,7506,154,9792,21.772876,76.654412,1.572712,Romney,76.654412
AL,01,Chilton,01021,3397,13932,156,17485,19.428081,79.679725,0.892193,Romney,79.679725
AL,01,Choctaw,01023,3786,4152,38,7976,47.467402,52.056169,0.476429,Romney,52.056169
AL,01,Clarke,01025,6334,7470,56,13860,45.699856,53.896104,0.40404,Romney,53.896104
AL,01,Clay,01027,1777,4817,85,6679,26.605779,72.121575,1.272646,Romney,72.121575
AL,01,Cleburne,01029,971,5272,76,6319,15.366355,83.430923,1.202722,Romney,83.430923
AL,01,Coffee,01031,4925,14666,230,19821,24.847384,73.99223,1.160385,Romney,73.99223
AL,01,Colbert,01033,9166,13936,342,23444,39.097424,59.443781,1.458795,Romney,59.443781
AL,01,Conecuh,01035,3555,3439,31,7025,50.604982,48.953737,0.441281,Obama,50.604982
AL,01,Coosa,01037,2191,3049,42,5282,41.4805,57.724347,0.795153,Romney,57.724347
AL,01,Covington,01039,3158,12153,128,15439,20.454693,78.716238,0.829069,Romney,78.716238
AL,01,Crenshaw,01041,2050,4331,43,6424,31.911582,67.419054,0.669365,Romney,67.419054
AL,01,Cullman,01043,5052,28999,504,34555,14.620171,83.921285,1.458544,Romney,83.921285
AL,01,Dale,01045,5286,13108,207,18601,28.417827,70.46933,1.112843,Romney,70.46933
AL,01,Dallas,01047,14612,6288,64,20964,69.700439,29.994276,0.305285,Obama,69.700439
AL,01,DeKalb,01049,5239,18331,380,23950,21.874739,76.538622,1.586639,Romney,76.538622
AL,01,Elmore,01051,8954,26253,339,35546,25.189895,73.856411,0.953694,Romney,73.856411
AL,01,Escambia,01053,5489,9287,118,14894,36.853767,62.353968,0.792265,Romney,62.353968
AL,01,Etowah,01055,12803,29130,691,42624,30.037068,68.341779,1.621152,Romney,68.341779
AL,01,Fayette,01057,1817,6054,87,7958,22.83237,76.074391,1.09324,Romney,76.074391
AL,01,Franklin,01059,3171,7567,143,10881,29.142542,69.543241,1.314217,Romney,69.543241
AL,01,Geneva,01061,2039,9175,117,11331,17.994881,80.972553,1.032566,Romney,80.972553
AL,01,Greene,01063,4521,804,18,5343,84.615385,15.047726,0.336889,Obama,84.615385
AL,01,Hale,01065,5411,3210,26,8647,62.576616,37.122702,0.300682,Obama,62.576616
AL,01,Henry,01067,3083,5628,55,8766,35.169975,64.202601,0.627424,Romney,64.202601
AL,01,Houston,01069,12367,29270,347,41984,29.45646,69.717035,0.826505,Romney,69.717035
AL,01,Jackson,01071,5822,14439,371,20632,28.218302,69.983521,1.798178,Romney,69.983521
AL,01,Jefferson,01073,159876,141683,2964,304523,52.500468,46.526207,0.973325,Obama,52.500468
AL,01,Lamar,01075,1646,5457,73,7176,22.93757,76.045151,1.01728,Romney,76.045151
AL,01,Lauderdale,01077,12511,23911,610,37032,33.784295,64.568481,1.647224,Romney,64.568481
AL,01,Lawrence,01079,5069,8874,205,14148,35.828386,62.722646,1.448968,Romney,62.722646
AL,01,Lee,01081,21381,32194,921,54496,39.234072,59.075895,1.690032,Romney,59.075895
AL,01,Limestone,01083,9829,25295,416,35540,27.656162,71.173326,1.170512,Romney,71.173326
AL,01,Lowndes,01085,5747,1756,20,7523,76.392397,23.341752,0.265851,Obama,76.392397
AL,01,Macon,01087,9045,1331,20,10396,87.004617,12.803001,0.192382,Obama,87.004617
AL,01,Madison,01089,62015,90884,2529,155428,39.899503,58.473377,1.62712,Romney,58.473377
AL,01,Marengo,01091,6167,5336,40,11543,53.426319,46.227151,0.34653,Obama,53.426319
AL,01,Marion,01093,2249,9697,183,12129,18.542337,79.948883,1.508781,Romney,79.948883
AL,01,Marshall,01095,6299,25867,478,32644,19.296042,79.239677,1.464281,Romney,79.239677
AL,01,Monroe,01099,4914,5741,62,10717,45.852384,53.569096,0.57852,Romney,53.569096
AL,01,Montgomery,01101,63085,38332,650,102067,61.80744,37.555723,0.636837,Obama,61.80744
AL,01,Morgan,01103,13439,35391,629,49459,27.172001,71.556239,1.27176,Romney,71.556239
AL,01,Perry,01105,4568,1506,27,6101,74.872972,24.684478,0.44255,Obama,74.872972
AL,01,Pickens,01107,4455,5124,42,9621,46.304958,53.258497,0.436545,Romney,53.258497
AL,01,Pike,01109,6035,7963,125,14123,42.731714,56.383205,0.885081,Romney,56.383205
AL,01,Randolph,01111,3078,7224,119,10421,29.536513,69.321562,1.141925,Romney,69.321562
AL,01,Russell,01113,10500,8278,48,18826,55.77393,43.971104,0.254967,Obama,55.77393
AL,01,St Clair,01115,5801,29031,403,35235,16.463743,82.392507,1.143749,Romney,82.392507
AL,01,Shelby,01117,20051,71436,1255,92742,21.620194,77.02659,1.353216,Romney,77.02659
AL,01,Sumter,01119,5421,1586,23,7030,77.112376,22.560455,0.327169,Obama,77.112376
AL,01,Talladega,01121,13905,19246,265,33416,41.611803,57.595164,0.793033,Romney,57.595164
AL,01,Tallapoosa,01123,6319,12396,47,18762,33.679778,66.069715,0.250506,Romney,66.069715
AL,01,Tuscaloosa,01125,32048,45748,976,78772,40.684507,58.076474,1.239019,Romney,58.076474
AL,01,Walker,01127,6557,21651,377,28585,22.938604,75.742522,1.318874,Romney,75.742522
AL,01,Washington,01129,2976,5761,50,8787,33.868214,65.562763,0.569022,Romney,65.562763
AL,01,Wilcox,01131,4868,1679,8,6555,74.263921,25.614035,0.122044,Obama,74.263921
AL,01,Winston,01133,1286,8312,130,9728,13.219572,85.444079,1.336349,Romney,85.444079
AZ,04,Apache,04001,17147,8250,520,25917,66.161207,31.832388,2.006405,Obama,66.161207
AZ,04,Cochise,04003,18546,29497,1158,49201,37.694356,59.952033,2.353611,Romney,59.952033
AZ,04,Coconino,04005,29257,21220,1485,51962,56.304607,40.837535,2.857858,Obama,56.304607
AZ,04,Gila,04007,7697,13455,443,21595,35.64251,62.306089,2.051401,Romney,62.306089
AZ,04,Graham,04009,3609,8076,220,11905,30.314994,67.837043,1.847963,Romney,67.837043
AZ,04,Greenlee,04011,1310,1592,84,2986,43.8714,53.315472,2.813128,Romney,53.315472
AZ,04,La Paz,04012,1880,3714,141,5735,32.781168,64.760244,2.458588,Romney,64.760244
AZ,04,Maricopa,04013,602288,749885,28786,1380959,43.61375,54.301757,2.084493,Romney,54.301757
AZ,04,Mohave,04015,19533,49168,1627,70328,27.774144,69.91241,2.313446,Romney,69.91241
AZ,04,Navajo,04017,16945,19884,636,37465,45.22888,53.073535,1.697584,Romney,53.073535
AZ,04,Pima,04019,201251,174779,7143,383173,52.522229,45.6136,1.864171,Obama,52.522229
AZ,04,Pinal,04021,44306,62079,2297,108682,40.76664,57.119854,2.113505,Romney,57.119854
AZ,04,Santa Cruz,04023,9486,4235,190,13911,68.190641,30.443534,1.365826,Obama,68.190641
AZ,04,Yavapai,04025,33918,64468,2281,100667,33.693266,64.040848,2.265887,Romney,64.040848
